School,BB,ALL,Difference_(ALL-BB)
1,98,79,-19
2,91,88,-3
3,100,88,-12
4,73,71,-2
5,57,74,17
6,100,98,-2
7,100,98,-2
8,77,71,-6
9,53,69,16
10,88,97,9
11,58,67,9
12,67,87,20
13,92,90,-2
14,75,80,5
15,63,87,24
16,100,87,-13
17,78,82,4
18,70,91,21
19,85,84,-1
20,88,92,4
21,70,90,20
22,80,83,3
23,42,60,18
24,39,60,21
25,91,81,-10
26,55,90,35
27,82,85,3
28,54,78,24
29,92,79,-13
30,80,78,-2
31,92,83,-9
32,80,78,-2
33,55,79,24
34,36,79,43
35,83,86,3
36,20,85,65
37,100,95,-5
38,62,78,16
39,100,89,-11
40,100,84,-16
41,90,81,-9
42,91,85,-6
43,93,89,-4
44,89,89,0
45,90,85,-5
46,80,85,5
47,46,81,35
48,75,80,5
49,100,98,-2
50,71,84,13
51,50,80,30
52,62,82,20
53,82,81,-1
54,50,70,20
55,100,85,-15
56,83,87,4
57,90,83,-7
58,64,86,22
59,91,92,1
60,67,85,18
61,83,93,10
62,100,94,-6
63,83,76,-7
64,100,69,-31
65,83,82,-1
66,63,80,17
67,91,94,3
68,95,98,3
